,precision,recall,f1-score,support
HUMMER H2 SUT Crew Cab 2009,1.0,0.6744186046511628,0.8055555555555556,43.0
HUMMER H3T Crew Cab 2010,0.7450980392156863,0.9743589743589743,0.8444444444444443,39.0
Honda Accord Coupe 2012,0.8780487804878049,0.9230769230769231,0.9,39.0
Honda Accord Sedan 2012,0.8787878787878788,0.7631578947368421,0.8169014084507042,38.0
Honda Odyssey Minivan 2007,0.9736842105263158,0.9024390243902439,0.9367088607594938,41.0
Honda Odyssey Minivan 2012,0.8888888888888888,0.9523809523809523,0.9195402298850575,42.0
Hyundai Accent Sedan 2012,0.84,0.875,0.8571428571428572,24.0
Hyundai Azera Sedan 2012,0.8863636363636364,0.9285714285714286,0.9069767441860465,42.0
Hyundai Elantra Sedan 2007,0.9722222222222222,0.8333333333333334,0.8974358974358975,42.0
Hyundai Elantra Touring Hatchback 2012,0.926829268292683,0.9047619047619048,0.9156626506024096,42.0
Hyundai Genesis Sedan 2012,0.7884615384615384,0.9534883720930233,0.8631578947368421,43.0
Hyundai Santa Fe SUV 2012,0.975609756097561,0.9523809523809523,0.963855421686747,42.0
Hyundai Sonata Hybrid Sedan 2012,0.9393939393939394,0.9393939393939394,0.9393939393939394,33.0
Hyundai Sonata Sedan 2012,0.9705882352941176,0.8461538461538461,0.9041095890410958,39.0
Hyundai Tucson SUV 2012,0.9767441860465116,0.9767441860465116,0.9767441860465116,43.0
Hyundai Veloster Hatchback 2012,0.9761904761904762,1.0,0.9879518072289156,41.0
Hyundai Veracruz SUV 2012,0.8478260869565217,0.9285714285714286,0.8863636363636365,42.0
Infiniti G Coupe IPL 2012,0.8947368421052632,1.0,0.9444444444444444,34.0
Infiniti QX56 SUV 2011,0.967741935483871,0.9375,0.9523809523809523,32.0
Isuzu Ascender SUV 2008,0.9743589743589743,0.95,0.9620253164556962,40.0
Jaguar XK XKR 2012,0.9375,0.9782608695652174,0.9574468085106383,46.0
Jeep Compass SUV 2012,0.8,0.8571428571428571,0.8275862068965518,42.0
Jeep Grand Cherokee SUV 2012,0.8604651162790697,0.8222222222222222,0.8409090909090908,45.0
Jeep Liberty SUV 2012,0.9545454545454546,0.9545454545454546,0.9545454545454546,44.0
Jeep Patriot SUV 2012,0.9318181818181818,0.9318181818181818,0.9318181818181818,44.0
Jeep Wrangler SUV 2012,0.9772727272727273,1.0,0.9885057471264368,43.0
Lamborghini Aventador Coupe 2012,0.9047619047619048,0.8837209302325582,0.8941176470588236,43.0
Lamborghini Diablo Coupe 2001,0.8723404255319149,0.9318181818181818,0.9010989010989012,44.0
Lamborghini Gallardo LP 570-4 Superleggera 2012,0.9655172413793104,0.8,0.8750000000000001,35.0
Lamborghini Reventon Coupe 2008,0.9714285714285714,0.9444444444444444,0.9577464788732395,36.0
Land Rover LR2 SUV 2012,0.9302325581395349,0.9523809523809523,0.9411764705882352,42.0
Land Rover Range Rover SUV 2012,0.9767441860465116,1.0,0.988235294117647,42.0
Lincoln Town Car Sedan 2011,1.0,0.9230769230769231,0.9600000000000001,39.0
